date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-05-05,10:25:36,Khimki,Singles,ITF Women,32,Anastasia Potapova,Yana Sizikova,1,sSRsrrRr;RSSSS;RRrR;SSRrRR;rDsRsr;rSSRSS;DSrrsR.rsRSSS;SsSS;sSRSS;RSRRR;SRSsA;srSrSs;RRRsSsSRSS;sDrsrsSS;RSSRSRRsRR;RsSrSRSRRSSrsS;RSSsrrSS;rsSSRS;R/sR/Rs/SS/SS/SS.SSsS;SSSrDRSRsS;SrRRsD;sSSRrRRsRR;rSSsrrsrSRrR;sSRsS;rsRSSRRSDssRSRRR;SSRrRSSRRSRR;RSssRrSs;SSRRRsSRRSSS,1-6 7-6(4) 4-6,1,QF,Indoor,02:53:16,RUS,RUS
2016-05-05,10:27:39,Antalya,Singles,ITF Women,32,Erika Vogelsang,Ayla Aksu,0,rrSRr;sssS;SsRrRD;SADss;RrDsSSSS;RssRSRSs;RSsSrrRsrSss;rAssRS.DDSSDR;ASSrs;sRASRrRD;SSSA;DrrSr;srsrss,6-2 6-0,1,R16,Hardcourt,01:06:38,NED,TUR
2016-05-05,10:29:14,Antalya,Singles,ITF Women,32,Jil Nora Engelmann,Harriet Dart,1,sRsDSS;RDsrR;RrDSSSSrRR;rSsSRrss;SsRSs;rRssRsRsSrss;SRrrr;RRSSrSRSSs;DDrr.srRssRDSSS;RRRr;RSRsSs;RsSRrD;SssS;RSDSRR,3-6 0-6,1,R16,Hardcourt,01:20:11,GER,GBR
2016-05-05,10:29:15,Antalya,Singles,ITF Women,32,Sarah Lee,Eleni Daniilidou,1,SSsRs;SRDDR;rSRSSS;RRDR;sSSRs;RSDrD.RRRR;RDRSR;RRSrR;srrrSSRr;RRRr;rrSsRr;SrRRSSSS;SSDsrRRD;rSrSRR;RsSDrR,0-6 4-6,1,R16,Hardcourt,01:07:14,USA,GRE
2016-05-05,10:30:24,Antalya,Singles,ITF Women,32,Andreea Ghitescu,Almudena Sanz-Llaneza Fernandez,0,srsSs;DSRRSSRR;sDRRsSDSRr;SRRRsSRR;RSSSS;srRsRsRSrSRR;SSSrs.srRsRR;SRrrsssS;rRrsSR;RSSsrs;rRSsrR;SSRRrSSrRSSS,6-1 6-0,1,R16,Hardcourt,01:18:10,ROU,ESP
2016-05-05,10:43:15,Khimki,Singles,ITF Women,32,Anastasia Gasanova,Valeriya Yushchenko,1,SSSS;SsrRss;ssDSs;RrSSRsRSrr;SARSS;SRSSrrRssS;rrsSRD;SRrSsS;DSrRSr;SSSRrS.DSSSS;rsrsSA;SSSRDS;SSSS;RSRSrR;RssDsrRR;rSrsSS;rrSRsSrsSS;SSss;RSrrSSrR.SSSrrS;RSRrSR;RRRSSR;rsrSRr;SSRSRS;RSsRsRsS;SSDSRRSS;RsSRSS;RsRSss,6-4 4-6 3-6,1,QF,Indoor,02:35:13,RUS,RUS
2016-05-05,11:08:58,Gyor,Singles,ITF Women,32,Rebeka Stolmar,Daiana Negreanu,0,RRrSSR;DSrRSr;RRSrR;SSsS;SDSRRSSA;sRSRSs;RrRR;DASRrSSS.SrSRRSsRSA;RSrRD;SSSs;RRRASssS;Rrrr;SrRSRR;SrRSADSS;SrRSSDSs;ssSA.SsrrSRsS;SRRSsS;RRSsSRRR;sSss;sRSRRSRSRSSRRR;DRRssR;SRSRDsSS;rSSsS;srSrRR,2-6 6-3 6-3,1,R16,Clay,02:13:17,HUN,ROU
2016-05-05,11:09:50,Tunis,Singles,ITF Women,32,Chloe Paquet,Lesley Kerkhove,0,DrsSSS;RSrRR;SsrrRsrr;rDRSR;rrSSADsS;sSRRRR;ssRRrR;DsRrsSSS;RssARs.ArRSArrr;SRRDSsDR;SRsDsS;rSRRr;AASs;SRDSSA;sSSS;RRSAArRSSs;RsrSSS.SsDsS;SSrSRS;RSrASrss;sSsRrS;rSADSrSS;SsrSs;DSSSs;RSrSrssS;sSSs;SDSSS;DSSrrR;sSSs,3-6 6-3 7-5,1,R16,Clay,01:52:19,FRA,NED
2016-05-05,11:10:27,Sharm El Sheikh,Singles,ITF Women,32,Eden Silva,Noppawan Lertcheewakarn,0,SSSRRS;SSrsrS;RsSRRr;SRsSS;SDsRSS;sSSrS;RRRR;RrrSR;rrDr.DSDRSSSs;sSsS;RSsSrS;RRsSDD;rARSSS;SDRRSr;sRrrr;SRrDR,6-3 6-2,1,R16,Hardcourt,00:57:32,GBR,THA
2016-05-05,11:11:11,Cagnes-Sur-Mer,Singles,ITF Women,32,Kateryna Kozlova,Cristina-Andreea Mitu,0,SSSS;SSDSrRRr;sSSS;sRrsRsrSrSRR;RsSRRr;RDSRR;SRsrSrRSRSRr;SrrRSR.sSsA;SSss;RSrrSsRR;sRDRR;SsSRRs;SsDRsRDR;ASAS;RrRSr,6-2 6-2,1,R16,Clay,01:09:20,UKR,ROU
2016-05-05,11:11:23,Tunis,Singles,ITF Women,32,Nadia Podoroska,Sabina Sharipova,0,rRsSSDSS;RRRr;RSsSrRRr;RrSRR;RrsssRSRDSSS;rrRR;SRRRSr;SSSRS;sSSRrRRR;RSrSSrSS;SSSDRRrD;SrRRsSRSRSss.RSrRD;rssSs;rSSrDSsDSRSRSrRR;SSSDs;rRRsr;rSSRrr;RSsSS;rsRrSSsS,7-5 6-2,1,R16,Clay,01:36:37,ARG,UZB
2016-05-05,11:14:28,Gyor,Singles,ITF Women,32,Dejana Radanovic,Gabriela Horackova,1,RSSrrSRSss;RSrrSSRR;SRSrARrSRr;RRsRSsrr;rsRsRR;SsRRRSrSSs;RRSRSR;RsSRSs;rSRRR.RsRRD;rrRsD;rRrSr;SSrRDSSrrSSRSRRr;sSrSS;SsrSRS;SrRRR;SSSS;SssRRs;RRssDR;SRssS;RSsRsRsRrSSS;R/ss/rs/RR/Ss/SR/S,3-6 6(5)-7,1,R16,Clay,02:15:12,SRB,CZE
2016-05-05,11:37:31,Sharm El Sheikh,Singles,ITF Women,32,Prerna Bhambri,Linnea Malmqvist,0,ssSrRRRsRSRD;SRDSRD;sSRSrS;AsRRRSRASs;sSSRS;RRDSSR;DRSrR;rSsRSDSS;RSSRRR;ASSS.SRSRSS;SRRsRSSS;SASS;SSsRRrSS;SSSRS;ASRDSRRR;SRSRRSSRSS;RRRR.SsSS;rRSRR;SSrDSS;RRRsr;rrSRSsSRSS;DRRR,4-6 6-2 6-0,1,R16,Hardcourt,01:42:29,IND,SWE
2016-05-05,11:40:07,Bol,Singles,ITF Women,32,Eliessa Vanlangendonck,Gabriela Pantuckova,0,RRRD;RAsrSS;rSSRRR;SSRSRS;SRRSRR;RRSSSS.SSRRSrsS;SrRSSRSRSA;SSsS;SsrrrSrR;SRSRrSRR;SrDASRSS;RrSARsRR;SsSrrs;sSRRSS;Ssss,6-0 6-4,1,R16,Clay,01:19:06,BEL,CZE
2016-05-05,11:52:02,Antalya,Singles,ITF Women,32,Jue Wang,Abbie Myers,1,sSrsS;SSSS;RRrsSr;sASS;SRRrAr;ARsDSRRR;ssSrRrSrsS;SrRSDR;rrRSSSRr;RDSRSSDr;SrrSSs;SSRRss;S/sD/SS/SD/SR/sS/RR/DS/R.SSSDRs;sSRRSRRSrr;RsSSRRSs;rRRR;DsrsRssS;rRRSSR,6(7)-7 0-6,1,R16,Hardcourt,01:41:32,CHN,AUS
2016-05-05,11:52:47,Santa Margherita Di Pula,Singles,ITF Women,32,Anna-Giulia Remondina,Jessica Crivelletto,0,rRssARRR;SRDsrr;srSRSs;RSrRR;DssRrsDSrr;SsAS;RRSSSRSrRsSrrsSRSRRARsSRrR;SRSrSRSRRsSS;SSRsS;SRrSSS.DRrR;RssSs;RsSSs;rRSSSRSS;sRDRSSRSrr;DsRRR;SSrRRr;sRsrrsSRRSDASS,6-4 6-2,1,R16,Clay,01:39:08,ITA,SUI
2016-05-05,11:54:20,Antalya,Singles,ITF Women,32,Yana Morderger,Natasha Bredl,1,RDDSr;SRRRSR;rRDsR;sSSRRRRR;SrsRrr;rsSrSS;RsRRsSDSRR;SSSS.rDRR;SRrSsrRSsS;RRrSR;SRRRR;RSsSrRSS;RrrSr;rRRR;SSSRRRSS;rSssRS;RSDSSS,2-6 4-6,1,R16,Hardcourt,01:47:23,GER,AUT
2016-05-05,11:55:07,Santa Margherita Di Pula,Singles,ITF Women,32,Nicole Rottmann,Priscilla Hon,0,SSRrRR;SRSRrSsRRR;sRSRSrRR;DRSrD;rRRr;sSRrSDDsSS;RSSAs;ssRSrS;RSSsRrSS;SSSS.DRSSDr;SSSRS;SSsRs;RSrsRSSs;RRDSR;RSSRSS;SrsRSRSrSRSRSS;rRsSSS,6-4 6-2,1,R16,Clay,01:31:54,AUT,AUS
2016-05-05,12:01:21,Santa Margherita Di Pula,Singles,ITF Women,32,Chiara Pusceddu,Snehadevi S Reddy,1,RrSrr;SSSA;RrRR;SDSSRS;SRSRsrrD;sSSS.RrRSR;SrsSs;RRRSR;RSSSS;rrDR;rSSSDS,0-6 0-6,1,R16,Clay,00:44:20,ITA,IND
2016-05-05,12:01:35,Antalya,Singles,ITF Women,32,Ulyana Ayzatulina,En-Pei Huang,1,ssDsS;SSSS;RsSSrrrR;RssSRRSS;SsDSrDSDSRDR;RRSSRR;SRSsRRrSRSSs;srSrRR;SRRsSrSDRSSS;RrRR.rSRSSRRR;RrSRSR;RSsRsS;rsRSRR;SRsSS;RRssRSSRRSRSSRSs;RRssDR;rDSrr;SrRRR;SRRRSSRR,4-6 4-6,1,R16,Hardcourt,02:06:15,RUS,TPE
2016-05-05,12:07:44,Sharm El Sheikh,Singles,ITF Women,32,Tamachan Momkoonthod,Sara Tomic,1,rsrRsSRr;SrSrSA;sSRRSrsA;srSSS;rRrr;RSSsRS;rSrrD.RrSSSS;RRSRr;rSSSA;rrRSssSrSS;rSSRSRsrrR;rSSSRrrSSS;DRsrR;SsRsS;rRSrSr.sRsDsRRr;SDRRSr;RrsSSS;ssSs;sSrSS;SRSsS;sSrSrRDr;Ssss;rSArrsRSrD,1-6 6-3 3-6,1,R16,Hardcourt,01:46:45,THA,AUS
2016-05-05,12:11:41,Tunis,Singles,ITF Women,32,Sherazad Reix,Ysaline Bonaventure,0,SSSRRs;SrrSrSSs;RSrRSADr;RSsSRs;SDrSRSSS;SrrSDSDSSRRR;srSrSRsRsRSrDSSs;SRrSRSrsRR;rSRDR;RrRR.SSDSRS;RSRrSSsS;RRrr;SSRRSDSS;rDRsr;ssRSS;DrRR.RSrSSRRr;SRRRR;SRSSRRrsrSSS;sSSRS;RSRrsr;SSrSRS;SSSS;rRrr;RSSrRR;rRSSDR;RRRR;SRrSRSSDSRRSss,6-4 1-6 7-5,1,R16,Clay,02:37:38,FRA,BEL
2016-05-05,12:17:35,Gyor,Singles,ITF Women,32,Monika Kilnarova,Vesna Dolonc,1,rSssRRSDRr;SsDRRSRSRsSs;RDRD;SSsA;SSRRrSSrrR;srSsRs.rsRsrsSRrssS;sSSS;RRRSSSSRSS;rsRRSr;DrRSR;RsAsS;SSDSS;RDSRSsRr;sRSrrr;SRsss;RrArssRD;RRSSDsSS,0-6 5-7,1,R16,Clay,01:38:38,CZE,SRB
2016-05-05,12:36:34,Cagnes-Sur-Mer,Singles,ITF Women,32,Carina Witthoeft,Jana Cepelova,0,SSDSs;SSARrs;rRDR;SSsrrrRSSRRSSrRsDsSS;sSrRrSRR;SRrRSR;DSRSSRSS;SSSRs;DSRRr.RsRrsR;RRsDSR;rSrSrSSRRR;RSSSS;rrSSsS;SrSSrRsRSS;rSRSRSRSSs;rSSSS;RSrRSSsRRr.RSRsSS;SRDrsSRR;RSSSs;RDSsRSsrSs;SrRRr;SsRRSS;SSRRSDSS;RRRr;RRrsr;RRSSSS;sSrSRS;SrSsRRRR,3-6 6-3 7-5,1,R16,Clay,02:16:09,GER,SVK
