date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc,server1b,server2b,server1b_ioc,server2b_ioc
2017-01-06,2:15:27,Brisbane,Doubles,WTA,16,Bethanie Mattek-Sands,Su-Wei Hsieh,0,SrsSS;rrRsSSS;SssrrS;ASSS;RRrSD;SRsRDR;sSRRSS;RRRr;RRsrSR;SRRrR.rSSRRSs;sSRsrDS;RsrSAS;SSSs;sSSRS;RRsrSR;RrSsRR;SSDrSrR;SSDRRss,6-4 6-3,1,SF,Hardcourt,01:58:47,USA,TPE,Sania Mirza,Laura Siegemund,IND,GER
2017-01-06,3:11:45,Auckland,Doubles,WTA,16,Gabriela Dabrowski,Demi Schuurs,0,sSSrs;SssrrS;RSSRRSS;rSSRss;RsSSRS;RsSSRrS;ARSSrS;sRSSS;SDRSsRS;rsrSSs;RRsRr;rsSSS.rRSSRsR;sRsSrRs;SSRrrSS;SrSSRs;RrSRSsr;RRSSSRR;rDrr;RSADSs,7-5 6-2,1,SF,Hardcourt,01:24:26,CAN,NED,Zhaoxuan Yang,Renata Voracova,CHN,CZE
2017-01-06,5:25:24,Brisbane,Doubles,WTA,16,Abigail Spears,Ekaterina Makarova,1,rrSRr;SSDSs;RrSsRSR;srrSSS;RrAsSS;SRSrsS;srRsRr.sSSs;sRRAsRr;SSSrS;RsRrSSS;sSSrs;rsSRSRr;RRSsrr;SSSRS;ARRSSRS,1-6 3-6,1,SF,Hardcourt,01:02:45,USA,RUS,Katarina Srebotnik,Elena Vesnina,SLO,RUS
2017-01-06,8:44:17,Shenzhen,Doubles,WTA,16,Natela Dzalamidze,Andrea Hlavackova,1,rRRAsSS;DRSSSrS;RrRAR;SSSs;SRrSSs;SrrSSs;RsRrSSr;srRSRR;SSSS;SSSRS.sssS;ASRsS;srRDR;SSRSRS;rrRR;RrsrSss;sSSrrRs;SsSDs,4-6 2-6,1,SF,Hardcourt,01:01:26,RUS,CZE,Veronika Kudermetova,Shuai Peng,RUS,CHN
2017-01-07,0:41:33,Auckland,Doubles,WTA,16,Demi Schuurs,Kiki Bertens,1,rsrRSr;RRSSRR;DRDr;SAAS;rRSSrD;SSSRS;RSRSSS;SSRSS.SSRSs;SSSs;sSRsS;SRASS;SRrRSSr;rSSSRS;SrrrR;sDrSsRA,2-6 2-6,1,F,Hardcourt,00:52:10,NED,NED,Renata Voracova,Johanna Larsson,CZE,SWE
2017-01-07,11:46:26,Brisbane,Doubles,WTA,16,Bethanie Mattek-Sands,Ekaterina Makarova,0,SrSSRrS;SRsrRsr;RRRSSSR;RRrSSSS;SRSSrrS;RSRSRSR;SrSDsrS;RSRrSR.SrSSS;rDSSRr;RSrsAS;rDSRASS;RrASsrs;RRsSDAS;srSRrR;RSRRsSr;rSSrRSS,6-2 6-3,1,F,Hardcourt,01:15:25,USA,RUS,Sania Mirza,Elena Vesnina,IND,RUS
2017-01-07,9:01:58,Shenzhen,Doubles,WTA,16,Ioana Raluca Olaru,Andrea Hlavackova,1,RARrR;rRRr;RRRr;rSSrRSs;RRsDSR;DSRSSS;rRsRR.rSsSS;sRSSs;DsDSrR;DRSSRSD;rRSSDSs;RRSssRS;SsrSRRR;SRSSRRS;sSRSs;rRrSSR;rsRrssS;SRDsSDr,1-6 5-7,1,F,Hardcourt,01:20:07,ROU,CZE,Olga Savchuk,Shuai Peng,UKR,CHN
2017-01-08,5:22:15,Sydney,Doubles,WTA,16,Vania King,Darija Jurak,0,SSARRRS;RRRSR;SRsrsS;SSrRrSS;SRsArs;SRSSS;ssRrSS;RSSDrSR.rRssRSS;SASS;SSRsS;sRSRsDS;SSRSs;RsrSrSR;RsrSss;sSSRS;SSSs,6-2 6-3,1,R16,Hardcourt,01:07:34,USA,CRO,Yaroslava Shvedova,Anastasia Rodionova,KAZ,AUS
2017-01-08,7:53:23,Sydney,Doubles,WTA,16,Hao-Ching Chan,Andreja Klepac,0,SSsS;SRRSsrs;RsRRSD;SRRRR;SSRRRSR;SARss;SrRRSr;RSSRsS.DRSArsR;SSsRS;sRrSSRS;DRSSSs;AARsS;SRSSs;SrSRSRD;sRSsS,6-2 6-2,1,R16,Hardcourt,01:01:40,TPE,SLO,Yung-Jan Chan,Maria Jose Martinez Sanchez,TPE,ESP
2017-01-09,1:13:58,Sydney,Doubles,WTA,16,Katarina Srebotnik,Anna-Lena Groenefeld,1,rRRD;SDDssS;RRSRr;SDRSSRs;SsSs;SRADSS;rrssss;RRSSRR;SSRrrSR.sDDRAD;ssRSS;RSSRRSS;sSsRDRS;RSDsSS;SRRsSS;SRSRSRS;RrRR;DSSSrS;sSSs;rSSSs;SSSS;S/Ss/rr/sR/DA/S.r/Rr/RS/SS/rR/DR/SD/SS/AR,3-6 7-6(3) 7-10,1,R16,Hardcourt,01:43:16,SLO,GER,Saisai Zheng,Kveta Peschke,CHN,CZE
