date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc,server1b,server2b,server1b_ioc,server2b_ioc
2017-01-18,5:54:16,Australian Open,Doubles,WTA,64,Caroline Garcia,Belinda Bencic,0,SRSRRsAS;rsrArr;rSASS;SSRRrr;SSSS;sAsS;SSSs.sRSRSS;DSsSA;rDArD;SSSA;SsrDRr;rSRSRsSs;SSSRA;sRRSrSSS,6-1 6-2,1,R64,Hardcourt,00:46:52,FRA,SUI,Kristina Mladenovic,Ana Konjuh,FRA,CRO
2017-01-18,6:29:04,Australian Open,Doubles,WTA,64,Sania Mirza,Jocelyn Rae,1,SRSRSRDSsS;SDSSDS;SRSSS;SRSRSS;SRrSSS;RRSrssSRrR;SSSrRS;SSSDS;RRssSrSRsRsRRSSS.SRRRsR;SSSrRrrr;rDRssD;SrADss;rSARRr;ASrRsS;RsDSDR,3-6 1-6,1,R64,Hardcourt,01:00:45,IND,GBR,Barbora Strycova,Anna Smith,CZE,GBR
2017-01-18,6:54:47,Australian Open,Doubles,WTA,64,Samantha Stosur,Kimberly Birrell,1,sDRrR;SSRrDR;SsRSDS;SSss;DSRsSA;rsSRRSSDSS;rRRSSSSS;SsRRsS;rSrSSS;SRSSS;RRssAs;RSsRDSSS;R/RS/SS/SS/Ss/Rs/rR/S.srRrr;SSRRRSSS;SRsrRsrR;SsRSRRSS;RSSSS;SRrDsR;sSrSrS;SrSrRSAs;SSsS;SRSAS.SSRSs;SRsRRR;rRsSSrRSsrRr;SDSSs;sRrrsR;SRRRSR;SSss;SsSS;RrrSR;SSSRs,7-6(6) 4-6 4-6,1,R64,Hardcourt,02:14:37,AUS,AUS,Shuai Zhang,Priscilla Hon,CHN,AUS
2017-01-18,7:03:53,Australian Open,Doubles,WTA,64,Karin Knapp,Naomi Broady,0,SsSs;ASsS;RSSrrsSS;RSRSSS;SSsDs;rsSSrRSRAS;rRsSRSRr;SRrRssDD;SSSrS;rrSRSSAS;rRSSSS;SRSrRR.RRSSRr;SSRRSS;ssSs;rSRSRSSS;RSSSs;sRSSs;RRSSRR;RsrSSS.RRsSSRsS;RRSSSRrSAS;SSRRRD;SsSA;SsSDS;SsSRS;sRSSS;RRSrssSs;rSSDSrsrSRSs;rrRsSR;RRsSRsSs;DSSSRs;r/Rr/SR/rR/RS/SS/S,7-5 2-6 7-6(5),1,R64,Hardcourt,02:11:43,ITA,GBR,Mandy Minella,Heather Watson,LUX,GBR
2017-01-18,7:16:22,Australian Open,Doubles,WTA,64,Oksana Kalashnikova,Gabriela Dabrowski,0,SSSS;rSsDSS;rRSDR;RRASsS;RSsRRSss;SSSDs;SSrsS;RSSRSS;SsrRsS;SrSSA.DSRRr;SSSRrRSrSs;rRSRr;SRRSSRsS;RRrSR;SSSrS,6-4 6-0,1,R64,Hardcourt,00:57:10,GEO,CAN,Aleksandra Krunic,Michaella Krajicek,SRB,NED
2017-01-19,1:16:48,Australian Open,Doubles,WTA,64,Barbora Krejcikova,Maria Irigoyen,1,SSSRS;SsSrrs;RsrSsrSS;rsrrSSSRsS;RSSDSS;sRRrSSSs;sSrrSRsRrsRAAS;rsRASrsS;sASs;rSSRRr.rSAsRs;RrSRSSRSrr;RSRSDSrR;SSSS;rSRSSA;ssSS;SSSRS;SSSS;rsRDR;RssSS.SSRSS;SSSS;SsRrRR;RsrsSRRr;RSssS;RSSrSS;SrsSRrrr;SsRrRD;SRRSSS;SDRSRR,4-6 6-4 4-6,1,R64,Hardcourt,02:02:45,CZE,ARG,Galina Voskoboeva,Ipek Soylu,KAZ,TUR
2017-01-19,1:17:51,Australian Open,Doubles,WTA,64,Qiang Wang,Vania King,0,SRSRSrSRSS;RRsRSSsS;RSSRsRsS;RRSSRr;SRRrR;SSSS;SSRRrR;SSSS;SrSSS;SRSRrR;SSrsRrsRrD;RsSRRr;r/Rs/rR/RR/SR/SR/R.RRSRSR;RrSRSR;SSRSs;rSRRSSRSsRRSSRRR;SRSRRSSS;RASrRsSRrSSS;RDSRr;SrrsRR;RRSRsR;RrRSSR,7-6(5) 6-4,1,R64,Hardcourt,01:47:01,CHN,USA,Varatchaya Wongteanchai,Yaroslava Shvedova,THA,KAZ
2017-01-19,3:54:08,Australian Open,Doubles,WTA,64,Misaki Doi,Andrea Hlavackova,0,RRSSrR;SSSs;RSRRR;RRSRSSSS;SSSRs;SRSSS;RSrRR.SSss;rSSRRsRSSs;SRRRR;sSsDRRrr;sRSsRrRSSS;RSrrR;rSrDR;srSSrS;rrSSAs;SSSrS;rSRSRR;SRSSrDRSrR;R/rD/sS/rR/s,6-1 7-6(1),1,R64,Hardcourt,01:22:21,JPN,CZE,Kurumi Nara,Shuai Peng,JPN,CHN
2017-01-19,4:37:36,Australian Open,Doubles,WTA,64,Jessica Moore,Raquel Atawo,1,SSSDS;RSrSSS;ssRSs;SRSRrSRR;RrSrSr;SRSSs;RRRR;RDRsSSSS;SSSs;SSSS.RRRsSSSS;sRRDR;SrRrSSrsRSss;RDSrsSSS;SRSSRS;SSrSRrRSsrsRSS;rSSSS;SRSSs;RssrRSRSSS.sRssrS;SRSSS;SRDRR;rSSRSrRsSDSrRr;RSSArS;SRRRsD;DSSARS;RRRR,4-6 6-3 2-6,1,R64,Hardcourt,01:55:27,AUS,USA,Storm Sanders,Yi-Fan Xu,AUS,CHN
2017-01-19,4:51:53,Australian Open,Doubles,WTA,64,Chin-Wei Chan,Tatjana Maria,0,SSsS;SSSs;rRsRD;SssrRrSDsrRsSS;SsSS;Sssrs;SSSs;SsSS;rRSrR.rRRSSsSs;SSRrsRrSsS;SrSsA;RRARSR;SRrrSArsss;SsRRRR;sRsSs,6-3 6-1,1,R64,Hardcourt,00:58:26,TPE,GER,Junri Namigata,Pauline Parmentier,JPN,FRA
2017-01-19,5:02:41,Australian Open,Doubles,WTA,64,Nao Hibino,Yulia Putintseva,0,RssRsS;SRSsRRSRSRSS;SSsS;rRrR;srSSs;RrSRSR;rRASss.SRsSrs;SrSSS;rSSDRR;RsrRsSsDSrSRRSsrDASs;sRsSS;SSSS;RSRrAr;SssRDS,6-1 6-2,1,R64,Hardcourt,01:02:53,JPN,KAZ,Alicja Rosolska,Alison Riske,POL,USA
2017-01-19,5:07:54,Australian Open,Doubles,WTA,64,Sorana Cirstea,Timea Babos,1,RrrsR;ssRSrS;SSRSS;RsSRARRR;RrSrsSss;SSrsS;SSSRRRrSsRSrrr;DsRSsrSRsRSS;sRSSs;SSsrS.rsRrR;DRsRsSSS;SDSss;rSrSSS;rRsDr;rSSrsDSs;RSRSSrrSsrrsSA;SSSrs,4-6 2-6,1,R64,Hardcourt,01:21:16,ROU,HUN,Carina Witthoeft,Anastasia Pavlyuchenkova,GER,RUS
2017-01-19,5:12:58,Australian Open,Doubles,WTA,64,Naomi Osaka,Ioana Raluca Olaru,1,sRrrr;srsSrDSRSs;rrSrsR;SssDS;RRSSRSSRSS;SSsA;RsSSS;ARRsDSSA.rASRSS;sADRSDARSs;RSRSSRRSRsRSRR;rRRr;RDSRR;RDRD;RDSSRSRr;SSRSDS;ssSrS;RSRSSDsS,2-6 4-6,1,R64,Hardcourt,01:20:01,JPN,ROU,Monica Puig,Olga Savchuk,PUR,UKR
2017-01-19,6:22:42,Australian Open,Doubles,WTA,64,Andreja Klepac,Julia Goerges,0,sSRDRR;SRAsrS;rSRRSSSS;SRsSS;SsAA;RSRSSRSS;RSsDSS;RSSSS;SRSSRA;RrRSR;SSSs;SRSDDR.SRASs;SSRSS;sSSRs;SSSS;SRRrR;SRRSSS;sSRSS;SSSA;ASSS;SASS.SSSS;RsSARRRR;RrSSSrSS;SRrArSSS;SsAS;SrSRSRSS;SRRRR;RSSSA;SSSS;RSRRSSAA;sRSsRRsDSRSs;rSSSS;S/RS/RS/SR/rR/rr/s,7-5 4-6 7-6(5),1,R64,Hardcourt,02:08:18,SLO,GER,Maria Jose Martinez Sanchez,Karolina Pliskova,ESP,CZE
2017-01-19,6:23:19,Australian Open,Doubles,WTA,64,Annika Beck,Alison Bai,1,RSSSS;SRSsRS;SSSrS;SArrSS;SsRsS;SsSrRS;SsSrrS;ASSrrDRR;SRsRsrSrrR;RrSSrsSS;SSrSrS;SSRSS;R/Sr/Sr/DR/SD/RS/S.SRrrR;sSSRRS;rRRsSR;ssSS;SsSS;RRSsSrSrSS;DsSrrssrrSRSSrrSRR,6(5)-7 1-6,1,R64,Hardcourt,01:19:22,GER,AUS,Anastasija Sevastova,Lizette Cabrera,LAT,AUS
2017-01-19,6:28:52,Australian Open,Doubles,WTA,64,Martina Hingis,Jelena Jankovic,1,RSSSs;SRSRsS;sSrRSrSrRSrSSS;SSRrsA;SSsDrS;rSrSRsSS;sSSs;RRRR;SSRsRS.SrDsDR;SRDSSS;rSSrArRASs;SSSA;SRRRSR;SAsS;SSRRSS;SrrRr;sSSRrs;RSRSSS,3-6 4-6,1,R64,Hardcourt,01:07:46,SUI,SRB,Coco Vandeweghe,Yanina Wickmayer,USA,BEL
2017-01-19,7:54:14,Australian Open,Doubles,WTA,64,Ashleigh Barty,Lyudmyla Kichenok,1,SsSS;RSrSArsS;RSsRSS;DSSSRRRsSRRR;SRSSA;SSrSS;sDSsDS;DrRR.ARARrsSS;sRsSRrSS;RDSsrr;ARSRSRRsRSrsRSDD;ARSSA;rRRR;RRSsSs;RSrSRR,2-6 2-6,1,R64,Hardcourt,01:04:24,AUS,UKR,Casey Dellacqua,Nadiia Kichenok,AUS,UKR
2017-01-20,2:16:50,Australian Open,Doubles,WTA,64,Andrea Hlavackova,Karin Knapp,0,SSRrSRRr;rRSSSS;SSSS;sSrrARDR;rSRRSSSS;RSSSRS;DRSsSS;RsSRsRrD;SsRSS.SDSsrRSRSRRSSS;rAsSRs;RRrR;rSSRSDSS;SrSSrS;SRSSRA;rRSrR;SSSRS,6-3 6-2,1,R32,Hardcourt,01:06:13,CZE,ITA,Shuai Peng,Mandy Minella,CHN,LUX
2017-01-20,3:20:10,Australian Open,Doubles,WTA,64,Katarina Srebotnik,Lauren Davis,1,SSSs;SSSS;RRRR;SRRSSrRD;RSSsRS;SRRRR;RSRSSS;RRSSSS;SRRRSSRSSS.SSSRRRSRRR;RSRSSS;RssSS;SSrRSRSRSA;SRSsRRrSSS;RRRSR;RRrsSR;RSDSSS;SRRRR,3-6 3-6,1,R32,Hardcourt,01:10:39,SLO,USA,Saisai Zheng,Megan Moulton-Levy,CHN,USA
2017-01-20,3:26:58,Australian Open,Doubles,WTA,64,Sania Mirza,Samantha Stosur,1,RAADsRss;rSrsDSRR;SRARsS;RRRD;RSSsrRSDRr;rSrsRSRR;rSDSSRSRSS.SSSRrS;RSRRR;RSsSRS;SRSDAS;SRrSRR;DSSSRS;sSSRRS;SsRRSS;RSSRRR;rSsRSRSRRsSRrSRSRSRSSs,1-6 4-6,1,R32,Hardcourt,01:22:09,IND,AUS,Barbora Strycova,Shuai Zhang,CZE,CHN
2017-01-20,3:45:30,Australian Open,Doubles,WTA,64,Alize Cornet,Eri Hozumi,1,RrrssSRssRSS;rSSSS;rSrSrSRSRr;RRRR;rsRSSS;SSsRS;RSsSS;RSSrsRRSrR;SSRSs.RRSRSR;RSSrrR;RRSSSDSrSS;RrSSsDrSSrSrSS;RSSRSs;ASSDS;SRSRRSsRrSSs;rrSRSD;sSsS.RSsSRrSS;ssSRS;SSRSrRrSrD;RSSRSS;rRSSRSSRSRSRSS;SSSS;rRSSSRRR;RRRsR;SRSrRR,6-3 3-6 3-6,1,R32,Hardcourt,02:07:19,FRA,JPN,Magda Linette,Miyu Kato,POL,JPN
2017-01-20,4:30:47,Australian Open,Doubles,WTA,64,Ekaterina Makarova,Liezel Huber,0,RRSSSrSS;SSSRDRSS;rsSSs;srSSrS;SSRsS;SRSRRr;RSSsRDSS;SSDRSS;SSrrsS.SRDRR;SrRRsSrSSS;rASSS;DSsRSS;SRRSDD;SSSs;RSrrSR,6-3 6-1,1,R32,Hardcourt,01:04:40,RUS,USA,Elena Vesnina,Maria Sanchez,RUS,USA
2017-01-20,4:49:41,Australian Open,Doubles,WTA,64,Andreja Klepac,Gabriela Dabrowski,1,SRSSS;SSrDSS;SSSS;SSRRSS;SRRsSs;RASSS;SSRSRrRR;SSrrSS;SsrRAS;sRSrrASRRr;RRSSSS;SSSS;R/SS/sS/RS/RS/RS/SS/SS/Ss/SR/S.SRSDSS;SRSRSs;RSSSS;SRRSRSSs;RRSRSSSS;SRSRRSRSRSRSSrRSSRRSSrRSRSRSSS;RDSRsSRR;SrSSA;RrSSsS;SSArA,6(9)-7 4-6,1,R32,Hardcourt,02:01:43,SLO,CAN,Maria Jose Martinez Sanchez,Michaella Krajicek,ESP,NED
2017-01-20,6:12:24,Australian Open,Doubles,WTA,64,Louisa Chirico,Mirjana Lucic-Baroni,1,RSRRSsRr;SRAsrRSS;rDrSr;RSSrSS;SRSRRD;sSrsRS.sSSRRA;SRRSSS;sSRSRS;srSSRS;rSDSRSrsSS;rssrsRSDSS;sSsA;ASrsRRRR;RsSsDS.sSSrRS;SSAS;sSSRs;rsRrsSrsRR;SRRRSSRSRSSs;rRSRr;SSSS,0-6 6-3 1-6,1,R32,Hardcourt,01:26:44,USA,CRO,Elise Mertens,Andrea Petkovic,BEL,GER
2017-01-20,8:01:31,Australian Open,Doubles,WTA,64,Vania King,Danka Kovinic,0,SSSRA;sRSRRr;SRRSSRDSSs;RRSsRr;srARSRsS;RRSSSRsRRSSRsS;SrsRSS.RsSsRS;RSsRRSSs;SSRRrsrr;rsRRr;sSRSS;SSRSS;RrRssSRSRR;sSsS;SRSrSs;RRrSSSSRSRSS,6-1 6-4,1,R32,Hardcourt,01:22:30,USA,MNE,Yaroslava Shvedova,Laura Siegemund,KAZ,GER
2017-01-21,1:16:22,Australian Open,Doubles,WTA,64,Viktorija Golubic,Kiki Bertens,0,SSRSS;rSSss;RSRsSS;rRrR;SRrRAssS;rDsSRR;sSSRrrSS.RSSAS;RSssDS;SRRDSr;RRSrsr;DSssS;SsRsrS;SRSrsA;sSSs;SRRRR;sSSs,6-1 6-4,1,R32,Hardcourt,00:52:13,SUI,NED,Kristyna Pliskova,Johanna Larsson,CZE,SWE
2017-01-21,1:21:35,Australian Open,Doubles,WTA,64,Chen Liang,Nao Hibino,0,SSSS;RsSRDSRSRD;SRRDSSRSRSRSsA;SDASRRSRSS;SRSSS;RSRRSSSS;RRSSSRSS;SDRRR.SSRsS;RDSsDSRSRSSS;RSRsSs;DRRR;SSSS;SSSrRA;SDRSss;SARARRRsDR,6-2 6-2,1,R32,Hardcourt,01:07:54,CHN,JPN,Zhaoxuan Yang,Alicja Rosolska,CHN,POL
2017-01-21,2:53:23,Australian Open,Doubles,WTA,64,Timea Babos,Tatjana Maria,0,SSSS;RRRR;sSSS;SSSRS;SSRSS;RRSSSS;RRARssRR;SRSSS;SsRSRRSS;RSRRr.SRRRsSSS;SSRrSRSS;SsRRSS;SRrRSR;SSRRRSSS;SSSS;SSSrDS;SrARrR,6-4 6-2,1,R32,Hardcourt,01:05:35,HUN,GER,Anastasia Pavlyuchenkova,Pauline Parmentier,RUS,FRA
2017-01-21,6:49:10,Australian Open,Doubles,WTA,64,Martina Hingis,Ashleigh Barty,0,SADRrD;SSRRRsSS;rSDSSRsrrR;RsSrSS;SSSA;RSRSrSsS;RssSS;SrRsRSSs.SSrRss;srSSrRRSSRsDsS;RSrSDR;sSrRSRSs;SrsSs;SSRsS;rRSRSR;DRSrsr;SsRss;SRSRDARr;SRSSRRsrRR;SrrSRSSs,6-2 7-5,1,R32,Hardcourt,01:24:19,SUI,AUS,Coco Vandeweghe,Casey Dellacqua,USA,AUS
2017-01-21,7:27:30,Australian Open,Doubles,WTA,64,Annika Beck,Caroline Garcia,0,rSSSrS;SRRRSSRSSS;SSRSs;SSSS;SsRSrS;SSrRADSRSS;SSrRRsSS;RSAsS;SsRRSS;SSSs;SSSrS;RRSrSsrSRR.RRRSSsSRsrSRsS;sSsS;SSDRRSSS;SRSAs;SSRSRS;SSsRS;RSSRRSSS;AsRSS;rSRRSSrSrR;SRSrSS.SSSRRS;SSSDA;SsRsS;ssSS;SrRSSRRSRR;rSssS;RSrSrSSS;RRSrSSSDSRSs;sSRrRSRR,5-7 6-4 6-3,1,R32,Hardcourt,02:00:07,GER,FRA,Anastasija Sevastova,Kristina Mladenovic,LAT,FRA
2017-01-22,2:24:18,Australian Open,Doubles,WTA,64,Vania King,Mirjana Lucic-Baroni,1,SRsRSRDSSs;DsSrRsSS;rrRR;RRSSrR;RSSSS;rsSSS;sSrSS;SsSs;SSRRSrRSSS;RARSRSDR.RSSSDS;SSRsS;RSrSRR;RSSSs;SrRRSR;SSSDS;SSSrRs;SAss.RRRSR;rSSRRSsRRSSRSRRSSRSS;RRRR;SSRSS;SRRSRSSRSS;SsSS;SSRSS;RSSRSRRSRR;SRRRR,6-4 2-6 3-6,1,R16,Hardcourt,01:46:18,USA,CRO,Yaroslava Shvedova,Andrea Petkovic,KAZ,GER
2017-01-22,2:31:09,Australian Open,Doubles,WTA,64,Viktorija Golubic,Ekaterina Makarova,0,sSDRSRSRRARsSRsA;SDsSs;SRSArs;RRsSRr;ARRSAS;sSAS;SSRrRSsRrr;SrSSS;SRrSSs;SDSSRS;SSSRS;sRSsS;R/AR/Ss/SR/RS/SS/r.RRrr;SRSAA;DSRsRR;DSSRrsRSrr;RDrSR;sRRRssARSA;ASAS;SSRAS.RRSrSsSRRSSS;SSsRs;sRSSrS;SRSrrR;ASSs;SSAS;ASrSS;RsSrrR,7-6(5) 2-6 6-2,1,R16,Hardcourt,02:00:33,SUI,RUS,Kristyna Pliskova,Elena Vesnina,CZE,RUS
2017-01-22,2:49:30,Australian Open,Doubles,WTA,64,Andreja Klepac,Andrea Hlavackova,0,rrSSrr;SrSSS;SRRSRSrR;rsrSSS;SrSSS;sSsDrRsRRSSs;RSSrSs;RsssA.RrSSrD;ssDSS;RSRSSRSRSRRsRSrR;ssRrSS;RRrSD;RssrSrSrRSrSss,6-2 6-0,1,R16,Hardcourt,01:12:20,SLO,CZE,Maria Jose Martinez Sanchez,Shuai Peng,ESP,CHN
2017-01-22,4:22:02,Australian Open,Doubles,WTA,64,Sania Mirza,Eri Hozumi,0,SRSSS;SSRSs;sRRRr;RSRSRr;RDRR;SRRSSs;SrRrSr;rRSrsr;SSRDsRDSRSsDSRDSADSRrSrsRSRR.SSRrss;DSRSRsSs;RsRSSs;sRsSS;RRRR;SSRSA;RsSrRsRsRSrsrR;sRsss.SSRrRD;RSSrSDRR;SSSDRS;SSSS;SsSrRRsRRSDSSRSS;rRRSD;sSRRSS;RSSSRRRR,6-3 2-6 6-2,1,R16,Hardcourt,01:54:16,IND,JPN,Barbora Strycova,Miyu Kato,CZE,JPN
2017-01-23,1:12:50,Australian Open,Doubles,WTA,64,Ashleigh Barty,Anna-Lena Groenefeld,1,SrSsS;rsSrRD;SrssRRRr;sRsRSS;SRAAS;DSSSs;RSRrr;RSRrR;SSAS;RSrRR.ASRSDRSS;DRRR;rRSRR;srSRSS;SSRrSS;SRrrsSrssrSS;sSSs;rRsRSSRSRSrSRSSS;sSsS;DRrR,4-6 4-6,1,R16,Hardcourt,01:18:18,AUS,GER,Casey Dellacqua,Kveta Peschke,AUS,CZE
2017-01-23,2:26:24,Australian Open,Doubles,WTA,64,Bethanie Mattek-Sands,Timea Babos,1,RrRr;SSrRSRRR;sASS;SsSS;RSSSDDSS;DSSss;ArsSDrsS;srDRSr;RsRSSA.RSSrrSSRSRRR;SSSDS;srRRD;SRSss;SrASS;SsRRss;RSSSs;DSRSSDrR;SSsS;Ssss,3-6 4-6,1,R16,Hardcourt,01:13:46,USA,HUN,Lucie Safarova,Anastasia Pavlyuchenkova,CZE,RUS
2017-01-23,3:58:34,Australian Open,Doubles,WTA,64,Caroline Garcia,Katarina Srebotnik,0,SSrSS;RsSRrr;RRSrASSs;rRRR;ASSS;SRrRsSRsSDSRSRrSSRSS;SAADS.RrSRSR;sSSs;RSSSS;RRSRSSRSSS;SSsRS;srSrSRSS;RsSSDS;SssS;sRrsSS;sSss,6-1 6-4,1,R16,Hardcourt,01:11:01,FRA,SLO,Kristina Mladenovic,Saisai Zheng,FRA,CHN
2017-01-23,4:33:40,Australian Open,Doubles,WTA,64,Chen Liang,Raquel Atawo,1,rSsrSS;SsSs;sDRsDR;RSSss;srRsRSARSS;RSASs;DSDSSRRR;SSRRss.SrRrr;SSSS;srSSRrRr;sSSS;rRRSSr;SRRSSS,2-6 0-6,1,R16,Hardcourt,00:52:04,CHN,USA,Zhaoxuan Yang,Yi-Fan Xu,CHN,CHN
2017-01-24,11:22:41,Australian Open,Doubles,WTA,64,Ashleigh Barty,Caroline Garcia,0,SSDSS;SsrrrR;SRSSs;RSSRss;SSsA;sRRsRr;rSRSSS.SSsrs;SSRRAS;srASS;RSssRS;DSSSS;rRSrR;SRssA;RRRr.rSssA;SRRsRSRr;SSrSS;DSRsSs;srSsA;rRSRSr;sSDSS,1-6 6-2 6-1,1,QF,Hardcourt,01:11:47,AUS,FRA,Casey Dellacqua,Kristina Mladenovic,AUS,FRA
2017-01-24,2:47:18,Australian Open,Doubles,WTA,64,Eri Hozumi,Mirjana Lucic-Baroni,1,RRSSsS;SrSSS;SSSrRS;rRSRr;RSSSS;SSRSs;SSRSrS;ssSRrs;RRSSSRsRSS.RSSSs;sSSRS;SSSs;SRsSRs;RRrR;SRRrR;SRSDRR;SsRSRRSS;RSSRrR,3-6 3-6,1,QF,Hardcourt,01:01:33,JPN,CRO,Miyu Kato,Andrea Petkovic,JPN,GER
2017-01-24,2:50:19,Australian Open,Doubles,WTA,64,Bethanie Mattek-Sands,Raquel Atawo,1,RSsSS;SRRrr;SSsRRS;rSSrRSSs;SDrRASSA;DsRSDSrSRSrD;SRSSA.SSRSRRRR;SSSS;RsSsS;SsSRrRSrSS;RSRRR;SSSS;rrRr,1-6 1-6,1,QF,Hardcourt,00:53:25,USA,USA,Lucie Safarova,Yi-Fan Xu,CZE,CHN
2017-01-24,4:03:29,Australian Open,Doubles,WTA,64,Ekaterina Makarova,Andrea Hlavackova,1,RsRRSSsS;SSSS;sDSrDsRSrSRSRR;SsSRRS;SrSss;ssSs;SSRSS;RAsSRs;rRSSRSRSss;RSSRRSrSRr;rDRD;SrSSS.SSsrS;SRSSRS;SSSRS;ssSS;rRSSRsSrrR;SRrsSrrR;RRrSSR;SSSrRRSDSRSS;RSRsSS;SrRRr;SRRSSS;SSSA;R/RR/Sr/SS/SR/SR/r,5-7 6(5)-7,1,QF,Hardcourt,01:56:07,RUS,CZE,Elena Vesnina,Shuai Peng,RUS,CHN
2017-01-25,5:21:43,Australian Open,Doubles,WTA,64,Bethanie Mattek-Sands,Eri Hozumi,1,SsSRrrSS;RsrSSS;rRRsSSRR;SSRRDR;rDSSsS;RRrSSR;SsrRSS;RrDr.DSSAS;srSSS;SssRRS;RsRRsSSs;SSAA;SRSSrS;rSRRr;RSSRSS;DSsDsRsS;ARSRSRsRSs.rRRSSsRsDR;SRRDSR;SSsS;RSSRSs;SSSS;ARSrRR;SRRRSR;SRArRSsDSS;sRDSRSDsSRsrsS;rrRR,2-6 6-4 4-6,1,SF,Hardcourt,02:08:11,USA,JPN,Lucie Safarova,Miyu Kato,CZE,JPN
2017-01-25,7:13:20,Australian Open,Doubles,WTA,64,Caroline Garcia,Andrea Hlavackova,1,RRssSrARsS;RSRSRASs;sRSRRr;rRRR;SsRSS;sssRRrRR;RSRrAR;SSSRs;SSAs;SRSSRS;SSsRRrAs;sRSSS;R/rR/rS/RS/rr/SS.SRsSRs;RRSRSSsRRr;RSSSRRRSsS;RsArrSRsSRSRRSSA;ARSrRSSRSRrSRSSA;rSSrSRsrSRSRSS;SRsSs;SrRrR,6(4)-7 2-6,1,SF,Hardcourt,01:52:54,FRA,CZE,Kristina Mladenovic,Shuai Peng,FRA,CHN
2017-01-27,6:50:43,Australian Open,Doubles,WTA,64,Bethanie Mattek-Sands,Andrea Hlavackova,1,RrRR;RSssS;SSRrSS;SsSs;SSSA;SsSRS;sSrRSs;rrDD;SSSRA;RRSSARsS;sRSsS;SrSSRS;s/SS/RS/SS/sr/rS.RrrsSsRR;RsSRRSSS;RRrr;RSSRDr;SrrSSS;sAsS;DRrASR;SRsrrSDr;rRRSR.SSDRSS;SRSSS;SSRSS;SDSsRRRsrD;SRrSRSRSrSSs;RRRSSSSS;SRSSRRSS;ssSA;SSRSs,7-6(4) 3-6 3-6,1,F,Hardcourt,02:15:13,USA,CZE,Lucie Safarova,Shuai Peng,CZE,CHN
2017-01-30,13:01:16,Taipei,Doubles,WTA,16,Ya-Hsuan Lee,Oksana Kalashnikova,0,RsSsS;RSSSS;sRSSs;RRRR;SrssS;SsRSs;rSRRSr;RSSsS;DSssS;RSsRRSR.RRRR;SRSDSS;ASSrRRR;SsRrSS;RrSRSR;RSSDSrs.R/RS/SR/SS/Rs/RR/RS/RS/Ss/R,6-4 0-6 10-8,1,R16,Hardcourt,01:06:15,TPE,GEO,Peangtarn Plipuech,Aleksandra Krunic,THA,SRB
2017-01-31,18:58:11,St. Petersburg,Doubles,WTA,16,Demi Schuurs,Daria Gavrilova,1,SRsRSRS;rSSRRSS;rDSRSSS;RsSSDs;SRDRr;sSArs;DSSSS;RSSSS;rrRD.SSRrRSS;RRsSsS;RsRSSS;RSrRR;RRSSsRS;RSRSrSs;SDRSRSS;ssSDrS;SrsRDD;RRDR,3-6 4-6,1,R16,Indoor,01:12:32,NED,AUS,Renata Voracova,Kristina Mladenovic,CZE,FRA
2017-02-01,14:28:34,St. Petersburg,Doubles,WTA,16,Anastasia Bukhanko,Anna Kalinskaya,1,ArSrRSD;SSSDS;rsrSSRS;SsSRS;DrDr;SsRSs;RrSSRSS;SsSRS.rRRR;SARrSS;sSSS;RSsSDs;ASRrsA;sRsRSs;rrSSRr;SAsRA,2-6 2-6,1,R16,Indoor,00:51:03,RUS,RUS,Ana Konjuh,Irina Khromacheva,CRO,RUS
2017-02-01,18:27:28,St. Petersburg,Doubles,WTA,16,Gabriela Dabrowski,Belinda Bencic,0,rSsDRR;SSSDS;SSAS;SRSSDRD;sRSRSS;SRSRSRR;SrrRR;RSSsS;rSASA;SASRRrD.RSRssS;rSSSDs;rSRSRSR;SSrSS;SRSRsS;RSsRRSS;srSSs;RrSSSS;rRSsrSA;SSRsRs.S/RR/SS/SR/RS/RS/sS,6-4 4-6 10-3,1,R16,Indoor,01:22:10,CAN,SUI,Michaella Krajicek,Martina Hingis,NED,SUI
2017-02-02,11:11:00,Taipei,Doubles,WTA,16,Chin-Wei Chan,Lucie Hradecka,1,SrRSrSS;SSSs;sSSrrs;ArsSs;rSSsA;sSSs;SSrSRRA;RSRRSSR;RSrRAr;sRSrSs;RRrR;SSrRsS.SSSDS;RSSSs;RDSSss;SssrS;SRRDr;RRrSSss;rrrsSss;SrSDRSS;SrsAs;SRSDrsS,5-7 4-6,1,QF,Hardcourt,01:20:05,TPE,CZE,Nicole Melichar,Katerina Siniakova,USA,CZE
2017-02-02,14:56:49,St. Petersburg,Doubles,WTA,16,Anna Kalinskaya,Jelena Ostapenko,0,RRSSSRS;ADSSA;SRRrr;SSDsS;SRSRRr;SSss;sRSRRAr.SSRsS;SrsrSS;SRSsS;rsSrrSS;DrSSDSr;SRRrSR;SSRRRR;RSSRSs;SSsA;sRrsRR;SrSRRR;SrsRSRS.s/SD/RR/SS/sA/RS/SR/SR/ss/R,6-1 5-7 10-8,1,QF,Indoor,01:20:32,RUS,LAT,Irina Khromacheva,Alicja Rosolska,RUS,POL
