date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-06-06,16:10:28,Stuttgart,Singles,ATP,32,Michael Berrer,Malek Jaziri,1,RRSRR;rRSSRr;AsSS;rsSAS;SRrRSSsS;RSSRSs;SSrsA;ArSsrS;RASrsS;SSAs;sSAA;RSRssrAS;S/SS/Sr/sS/Ss/RR/Rs/As/R.rSsSS;SSAS;RrSrD;SSAA;SSss;sARRRsrsAA;SrDrssrr;ASss.sRrRr;rSSSs;sRSRSs;rrSRSSSS;SSRRSRrSRsRsrsSS;RSsAS;sSSA;SSAs;sASRrrsS;sSSs,7-6(7) 2-6 4-6,1,R32,Grass,01:58:51,GER,TUN
2016-06-06,16:41:11,s-Hertogenbosch,Singles,ATP,32,Sam Querrey,Benjamin Becker,0,ArSRAS;sssrs;SSsS;DsrSSs;DSSSS;ssRSDS;SsSs;SSAA;SsSA;sRSSA;sSARA;rSsSrRSS;r/SS/Ss/DR/Ss/D.srsAS;AssRS;SRAsS;DrASSA;RSDSss;SsrrSs;sRRssS;ASsRs;SSRrSS;ArAsS;SSss;sSss;S/SR/SR/SS/ss/Ss/r,7-6(3) 7-6(5),1,R32,Grass,01:21:23,USA,GER
2016-06-07,11:08:56,Stuttgart,Singles,ATP,32,Viktor Troicki,Florian Mayer,0,RrRR;SsSrs;ssAA;RRrSR;DSAsA;rSSSS;SsSrRs;SSSA;Drrr;SSRSRs.SrASs;SSSs;ARsRSA;SsSS;RsSrSS;SsAS;SsDsS;SrRSSS;rSsAA;ASsRs;RSSrSA;rSSrSS;S/Ss/sS/Sr/rD/Ss,6-4 7-6(4),1,R32,Grass,01:10:40,SRB,GER
2016-06-07,11:11:46,s-Hertogenbosch,Singles,ATP,32,Inigo Cervantes Huegun,Igor Sijsling,1,RRrD;sssS;rssSA;SSRsA;SRSSrRrsARsS;srSSS;AArSRRSs;SsSrS;RSrASs;rSsSS.rRrR;sSrsS;sRrRD;SSss;RRrR;ssSS,4-6 0-6,1,R32,Grass,00:46:42,ESP,NED
2016-06-07,11:14:48,Stuttgart,Singles,ATP,32,Fabrice Martin,Taylor Fritz,0,SsSS;sRASrDSS;RSSSS;SSrDRR;sSRSDRAS;sSAS;AsSS;sSSA;ASsRA.sssRrrrsSA;SSSA;ASAA;SSrrSA;sSSA;rDSSsS;sASrA;RSSSA;RssRSrRASS;SSRRSS;sSss;RsrArsSRrArSRSss;S/As/Ar/sR/AA/AS/SS/r.ARRsrr;SsSA;sSRSRDsA;SAAA;SSSrDRDSRR;srsSA;RRAADR,3-6 7-6(6) 6-1,1,R32,Grass,01:28:09,FRA,USA
2016-06-07,12:26:25,s-Hertogenbosch,Singles,ATP,32,Andreas Seppi,Adrian Mannarino,0,rRARSsrSrr;SSrSA;DssSrs;SSrRsrsRRsrSARAS;RSrSsS;RSsSS;SsSA;SDASRs;sSrsA;SSSS.DSRSRsrsAS;rssRSDRsrssRSS;SrrSss;rrRSSSss;SsDSS;rSsAS;ASSDRrSDRr;RrSsArSRSs;SDRrSsSS;sSDss,6-4 6-4,1,R32,Grass,01:30:16,ITA,FRA
2016-06-07,13:03:10,Stuttgart,Singles,ATP,32,Lucas Pouille,John Millman,1,sDsSrA;sSsA;DAsDSRDSSs;rRSSSS;rrrR;RSsSS;SSAS;sSrrss;rArSRSSs;rRRR;rSSrSrSA;sSsRs;A/sS/Ss/Sr/SS/R.SRsrSRSRSS;RrsSrSsS;sSsrs;DArrSR;SDsss;srSSrRsS;sRSRsS;RSSDAS;rRSSSS.srSSrS;sRSsRrSRsrrSSS;SSSRS;RSRsrsRSRSSRSS;DRSSSs;SsSA;ArRrR;SSRSS;sSrSS;SSss,7-6(3) 3-6 4-6,1,R32,Grass,02:03:29,FRA,AUS
2016-06-07,14:10:28,Stuttgart,Singles,ATP,32,Grigor Dimitrov,Juan Martin Del Potro,0,RSRsSs;sSAS;SsRRSDsS;SSDsS;sSAS;ASDSA;SRSAs;sSss;rsrSrssRDr;ARssrrsrsS.RArDR;ASRSS;RDRSsr;rAASA;RrDsSSSS;sSAS;SrSsA;ArrsAA,6-4 6-2,1,R32,Grass,01:09:10,BUL,ARG
2016-06-07,15:11:46,s-Hertogenbosch,Singles,ATP,32,Gilles Muller,Robin Haase,1,AAsA;srSSs;ASss;sSSRs;RrSASRSA;SsRSA;DRSRAsAA;RDSSSS;RsSss;SSsrs;SAArA;SSrAA;S/SS/SR/RS/RS/Sr/AS/sR/S.SrRASA;SSsA;SRrRSSRSSrAA;DssSA;DSsSS;rRrAsASDAA;RRSSRr;ASARS;srASRS;AADSA,6(7)-7 4-6,1,R32,Grass,01:25:50,LUX,NED
2016-06-07,15:27:35,Stuttgart,Singles,ATP,32,Feliciano Lopez,Mikhail Youzhny,0,RSASS;ssRSA;SssS;rRSSSS;SRRSss;rARRSSSRRssS;rSADrSSA;SDSARS;sRSARA;SsSS;SRRRsR;RRSsrr;S/Ss/DS/Rs/rD/s.SSRADS;RSssS;ASrAA;sRRSrR;ASSrS;sRsrSDsRsS;SRSss;SSAS;rssRSrsRSrsRsS,7-6(3) 6-3,1,R32,Grass,01:38:23,ESP,RUS
