date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank,server1b,server2b,server1b_age,server2b_age,server1b_ioc,server2b_ioc,server1b_rank,server2b_rank
2014-07-04,14:05,Wimbledon,Doubles,ATP,Main,Leander Paes,Vasek Pospisil,1,RSSSS;RRRR;SRSSS;SSRRSS;SSSS;RSRSSS;RSRRSR;SRRSRSRSSS;SRSSS;SSSRS;RSSSS;SRRRSSSRRSSRSS;S/SR/RS/SR/SR/SS/R.SRSSS;SSRRSRRSSRRR;SRRSRR;SRSSS;SRSSRS;SRSSRRSS;SRSRSRSRRSSS;RRSSSRRR;SSSRRRSRSRSRSS.RRRSSR;SSRSS;SSRSS;RSSRSS;SSRRSS;SSSS;SRSRSRSS;RRSSRSSRRSSS;RRSSSS;SSSRS,6(5)-7 3-6 4-6,0,SF,grass,2:24,,41.05,35.60,,,,,Radek Stepanek,Jack Sock,35.60,21.77,,,,
2014-07-04,14:15,Wimbledon,Doubles,ATP,Main,Bob Bryan,Michael Llodra,0,RRRSSSRR;SRRRR;SSRRSRRR;RSRRR;RSSSRS;RRRR;SRSRRSSRRR;SRRSSS;RRSSRR;RRRR;SRRRR;RRSRR;R/RS/SS/SR/SR/RR.RRRR;RRRR;SRRRR;RSSRRSSRRSSS;RSRRSSSRRSSRRR;RRSSRSRR;RRRR;RRRR;RRRR.RRSRR;RRRR;SRRSSS;RRRR;RRRR;RRRR;SSSS;RRRR,7-6(4) 6-3 6-2,0,SF,grass,1:46,,36.18,36.18,,,,,Mike Bryan,Nicolas Mahut,36.18,32.45,,,,
2014-07-05,18:15,Wimbledon,Doubles,ATP,Main,Bob Bryan,Vasek Pospisil,1,SRSSS;SRRRR;RSRSRSSRRR;SRRSSS;SSSS;RSSSRS;RRSSSRSS;SSSS;SSRSS;SSSS;SSSS;SRSSRS;S/SS/SR/SS/SS/SR/R.RRSSSS;SSSS;SSSS;SSSS;SRSSS;SSSS;SSSRS;SRSSS;SSRSS;SSSS;SSRSS;RSSRSRSS;S/SS/SS/SS/RR/S.SRSRSS;SRSRRSSS;SSSS;SRRSSS;SSRSS;SSSS;RSRRR;SSSRS;SSSS;SSSS.SRSSS;SSRSRRSS;RSSRRSSRRSSS;SRRRSR;SRSSRRSS;SSSRRS;RRSSSS;RSSSS;RSSRSS.SSSRS;SSSS;SSSS;SRSSS;SSRSS;RSRSSS;SSRRSS;SSSS;SSSRS;RRSRSSSRSS;SSSS;SRRRSSRR,6(5)-7 7-6(3) 4-6 6-3 5-7,0,F,grass,3:11,,36.18,36.18,,,,,Mike Bryan,Jack Sock,36.18,21.78,,,,
2013-06-17,17:55,Wimbledon,Doubles,ATP,Qualification,Andreas Haider-Maurer,Brydan Klein,0,RSRRSR;RSRSSRRR;RSRRSR;RSRSRR;RRRR;RSSRRSRR;SRRRSR;SSRRRSRR;RRRR;SRSRRR;RSRRR;RRSSRSRR;S/RR/RR/SR/RS/RR.SRRRR;SSSRS;RRRR;RRRR;RSRRR;RSRSSRRR;SRRSRSRSSRSRRR;SSRSS,7-6(4) 6-2,0,SF,grass,1:13,,26.24,19.94,,,,,Jiri Vesely,Dane Propoggia,19.94,23.15,,,,
2013-06-17,18:35,Wimbledon,Doubles,ATP,Qualification,Dominik Meffert,Stefano Ianni,0,SRSRRSRSRSSS;SSSS;SSSRS;SSRSS;SSRSS;SRRRSSSS;SSSRS;RSSSS;SRSSS;RSSRRR.SSSRS;SRRRSSRSRSRSSS;RSSSS;RSRRSR;SRSSS;SRRRR;RSSSS,6-4 6-1,0,SF,grass,0:59,,32.19,27.40,,,,,Philipp Oswald,Adrian Mannarino,27.40,24.97,,,,
2013-06-17,18:55,Wimbledon,Doubles,ATP,Qualification,Purav Raja,Flavio Cipolla,0,SSSS;RSSRRR;RRRR;RRSRR;SSSRS;RRRR;SSSRRRRR;RSRSRR.RSRSRSRR;SSRRRSRR;SSSRS;RRSRR;RSRSRSRR;RRRR;RRSRSR;RRRR;SSRRRSRSSRRR;RRRR,6-2 6-4,0,SF,grass,0:53,,27.53,27.29,,,,,Divij Sharan,Wayne Odesnik,27.29,27.57,,,,
2013-06-17,19:05,Wimbledon,Doubles,ATP,Qualification,Teimuraz Gabashvili,Jesse Levine,1,SSRRRR;SSSRRS;RSRRR;SRRSSS;RSSSRRRSRR;SRSRSS.RRRR;SRSSRRSRRR;RRSSRSRSRSSS;RSSRSRSRRR;RRSRSSRR;SSRRSRRR;SRRSSRSRRR;SSRRSS;RRSRR;RSRRR;SRSRRR;RSSRRSRSSRRR;R/SS/RR/SS,0-6 6(0)-7,0,SF,grass,1:16,,28.07,24.22,,,,,Joao Sousa,Vasek Pospisil,24.22,22.98,,,,
2013-06-17,19:15,Wimbledon,Doubles,ATP,Qualification,Dustin Brown,Edward Corrie,0,SRSRRR;SRRRR;RRSRSR;RRRR;RSSRRR;RSRRSR;RRRR;RRRR;SSRRRSRR;RRRSSSRR;RRRR;RSRRR;R/SR/RR/SR/RR.RSRRSR;SSRRRSRSRSSS;SRRRR;SRRSRSRR;SRRRR;RRSSRSRR;RRRR;RRRSR;RRRR.RRSSRR;RRSRR;SRSSS;RRRR;RRRR;RSRRR;RSRSRSRR;RRRSR;RSSRSS,6(2)-7 6-3 6-3,0,SF,grass,1:32,,28.52,32.06,,,,,Rameez Junaid,Neal Skupski,32.06,23.54,,,,
2013-06-17,19:20,Wimbledon,Doubles,ATP,Qualification,Denis Kudla,Colin Ebelthite,0,RRRSR;SRRRSSSS;RRRR;SSRRRSRSSRRSSS;SSRSS;SSRRSRRR;SSRSRRSRSS;RRSRSSRSRR;RRSRR;RSSRRR;RRSRR;RRRR;S/RR/SR/RS/SR/SR.SRSRRR;SRSSRRSRSRRR;RSRRSR;RRRR;RRSRR;RRSRR;RRRSSR;SSSS;RSRSRSRR,7-6(4) 6-3,0,SF,grass,1:21,,20.83,,,,,,Tim Smyczek,Adil Shamasdin,,31.07,,,,
2013-06-17,19:30,Wimbledon,Doubles,ATP,Qualification,Lewis Burton,Steve Johnson,1,RRSRR;SRSSRRRR;SSRSS;RRRSR;RRRR;SRSSS;RSRRR;RSRRR;RRSSRSRR;RRRR;RSSSRRRSSRSS;RRSSSS;R/RR/RR/RR/RR/RR/RR/RS/R.RRRSR;RSRRR;RRSRSR;SRRRR;RRRR;RRRSR;SRRRR;RSRRR;RSRRR;SSRSS.RRRR;RSRSRSRSRR;RRRR;RSRRSSRSSRRR;RRSRR;RSRRR;RSRRR;RRRR;SRRRR;SRRRSR;RSSRSRRR;RRSSSRSRRR;RRRR;RRSRR;RRRR;RRRR;RRRR;SRRRR;RRRSSSSS;RSRRR,6(7)-7 6-4 9-11,0,SF,grass,2:11,,21.23,,,,,,Daniel Evans,Andreas Siljestrom,,31.91,,,,
